"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FYTTD1",3.7355298877943e-19,-0.104084589672856,0.423,0.334,1.25282201376845e-14
"ARHGAP27",3.79905694779206e-19,-1.33131307840388,0.047,0.074,1.2741277191505e-14
"AC007384.1",3.8108442681566e-19,-3.88090093709019,0.001,0.01,1.27808095065436e-14
"AC103591.3",3.8774526981308e-19,-1.73917521349979,0.05,0.078,1.30042008589911e-14
"CMIP",3.94109787832779e-19,-0.889894701011186,0.237,0.269,1.32176540643357e-14
"CCL8",3.95393419912444e-19,-2.14073586977778,0.02,0.041,1.32607045170235e-14
"RGS22",3.96257309235577e-19,2.85058367542078,0.012,0.002,1.32896776371428e-14
"GPR137C",4.08521629969756e-19,0.575276810360021,0.049,0.026,1.37009984259257e-14
"AP4E1",4.09066130549134e-19,0.134998554328533,0.154,0.113,1.37192598863568e-14
"WARS2",4.11568122764753e-19,0.231130216021501,0.099,0.066,1.38031717012843e-14
"SELENOV",4.14088039655745e-19,2.30346507926583,0.011,0.002,1.38876846739744e-14
"INPP4B",4.14801011625723e-19,0.79148637061306,0.126,0.091,1.39115963279035e-14
"ZNF697",4.19493438782945e-19,0.538551570172856,0.062,0.037,1.40689709499024e-14
"LAMA1",4.22855666990547e-19,0.96303467625878,0.049,0.027,1.4181733359529e-14
"AC006333.2",4.37705735518169e-19,0.44548659579582,0.066,0.039,1.46797749578084e-14
"LGALS2",4.4135279850638e-19,-3.28074291468487,0.002,0.013,1.4802090156307e-14
"PANX1",4.57270948467007e-19,-0.107937875094271,0.131,0.092,1.53359530696865e-14
"OSCP1",4.58415328902118e-19,0.528880665277278,0.052,0.029,1.53743333007192e-14
"SCARB2",4.72335887388404e-19,-0.30541571916405,0.473,0.371,1.58412009912323e-14
"TOLLIP",4.88518341143196e-19,-0.173393274367565,0.279,0.216,1.63839281252605e-14
"GLB1L",4.88565341055151e-19,0.535101436651588,0.06,0.035,1.63855044083076e-14
"WAC-AS1",4.92474915644028e-19,-0.156807238532874,0.174,0.128,1.65166237208694e-14
"HCAR3",4.97083289033351e-19,-3.31841860666998,0.003,0.014,1.66711793476005e-14
"SMTN",5.11688922809443e-19,0.254784430805158,0.138,0.099,1.71610230931831e-14
"DLG4",5.11809136977824e-19,0.477055600185658,0.05,0.027,1.71650548359622e-14
"TAS2R4",5.38001671586404e-19,0.91363556115949,0.024,0.009,1.80435000616648e-14
"AC244021.1",5.4407773392507e-19,-3.6644982924582,0.002,0.012,1.8247279040379e-14
"TM9SF1",5.62164256319597e-19,0.275600233646542,0.078,0.049,1.88538648284466e-14
