"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"TLN2","OK",1.28875977329211e-252,33.9279742348025,0.0651654451827712,"TLN2",6.71860989567753e-252
"AC100839.1","OK",0.534721670456722,-0.0871444936241556,-0.000166023576187689,"AC100839.1",0.605471518153607
"AC100839.2","OK",NA,NA,-5.08606421826443e-05,"AC100839.2",NA
"AC103740.1","OK",4.14361357293736e-66,17.1339237313597,0.0324891265733144,"AC103740.1",1.39202883805757e-65
"AC103740.2","OK",2.36972848580996e-204,30.4804031342627,0.0582176991719193,"AC103740.2",1.14801799372143e-203
"TPM1","OK",0,370.751586082613,0.71318474027927,"TPM1",0
"TPM1-AS","OK",7.77313496827844e-10,6.03859416114507,0.0112980219882174,"TPM1-AS",1.57487050888535e-09
"AC079328.2","OK",0.589002761643568,-0.224980458150881,-0.000400288233665549,"AC079328.2",0.616936681427097
"AC087612.1","FAIL",NA,NA,NA,"AC087612.1",1
"LACTB","OK",2.5973579373994e-162,27.1235541398823,0.0520929732183752,"LACTB",1.16141572059764e-161
"RPS27L","OK",0,222.833949388619,0.428566488788123,"RPS27L",0
"RAB8B","OK",6.05102401357041e-139,25.0646013275249,0.0481403323615718,"RAB8B",2.57769327845286e-138
"APH1B","OK",3.70465143431227e-61,16.4575042332193,0.0315655178330814,"APH1B",1.216353315791e-60
"CA12","OK",0,56.2438412304476,0.107327985524795,"CA12",0
"LINC02568","OK",5.86920691515657e-21,9.31905222868708,0.014585646081606,"LINC02568",1.42936453626509e-20
"AC007950.1","FAIL",NA,NA,NA,"AC007950.1",1
"AC007950.2","OK",0.588640629223333,-0.224049558012655,-0.000459371747007665,"AC007950.2",0.616780665954578
"USP3","OK",1.17883919484591e-67,17.3397481125116,0.0332790139711165,"USP3",3.99003904193446e-67
"USP3-AS1","OK",0.123862713480191,1.15589177596717,0.00211522552973324,"USP3-AS1",0.178486368395935
"FBXL22","OK",0.0155055283371528,2.15693080003744,0.00404717579961896,"FBXL22",0.0240497413861469
"HERC1","OK",1.23728789706544e-32,11.8382863044047,0.0227178713103442,"HERC1",3.3939578554175e-32
