"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"SLC27A2","OK",5.35065233972356e-133,24.513130934169,0.0466673742495411,"SLC27A2",2.23959719154885e-132
"HDC","OK",0,288.773635945958,0.533328539787009,"HDC",0
"GABPB1","OK",5.96436754283466e-95,20.6403131029048,0.0396212698815548,"GABPB1",2.22854800303425e-94
"GABPB1-AS1","OK",0,62.1163178582085,0.119312175559414,"GABPB1-AS1",0
"USP8","OK",4.50950293653215e-36,12.4849587591804,0.0239593494686319,"USP8",1.27115333279165e-35
"TRPM7","OK",2.26202142046777e-61,16.487343918246,0.0316418913790431,"TRPM7",7.43661300695325e-61
"SPPL2A","OK",2.63893143308336e-47,14.398630977236,0.0276463912619564,"SPPL2A",8.01505069313161e-47
"AP4E1","OK",0.0012409745940315,3.02553348736152,0.00576446586746169,"AP4E1",0.00204604955632902
"TNFAIP8L3","OK",0,47.188512399961,0.0904561926766748,"TNFAIP8L3",0
"CYP19A1","OK",1.65456351811393e-10,6.28355704606467,0.0116753176236369,"CYP19A1",3.40476186117884e-10
"GLDN","OK",0,86.165970552536,0.164303808347832,"GLDN",0
"DMXL2","OK",1.63839853120956e-294,36.6591040538501,0.0703568691759482,"DMXL2",9.05050917766124e-294
"AC066613.1","OK",2.53739896654687e-20,9.16241643583173,0.0169724193670138,"AC066613.1",6.12738823057868e-20
"SCG3","OK",6.89964479821439e-06,4.34703072380139,0.0078497153718715,"SCG3",1.24946078585956e-05
"LYSMD2","OK",0,46.8087488133611,0.0899087554151095,"LYSMD2",0
"TMOD2","OK",0,101.756042899455,0.195520446253543,"TMOD2",0
"TMOD3","OK",0,40.052686129369,0.0769798620983129,"TMOD3",0
"LEO1","OK",4.84960697043824e-172,27.9361987120773,0.0535241670941947,"LEO1",2.21487938570151e-171
"MAPK6","OK",1.0508189893578e-251,33.8661206760175,0.0650444991352473,"MAPK6",5.47363989372858e-251
"BCL2L10","OK",0.00158378048962697,2.95099104751401,0.00537656049251827,"BCL2L10",0.00260070169521417
"GNB5","OK",9.31128944794923e-32,11.6677770479368,0.0223668603434422,"GNB5",2.5362044718501e-31
"MYO5C","OK",1.1310350643558e-243,33.3160372214632,0.0637541257997234,"MYO5C",5.83600201272307e-243
"MYO5A","OK",2.14517911685325e-95,20.6896817048513,0.0397121734421643,"MYO5A",8.02603307397997e-95
"ARPP19","OK",0,74.425914363048,0.143098426702728,"ARPP19",0
"AC025917.1","OK",0.0101215544251005,2.32181110848185,0.00282065796034756,"AC025917.1",0.0158856725304535
"FAM214A","OK",0,48.9393474052418,0.0939840612298308,"FAM214A",0
"ONECUT1","OK",4.54888205318618e-10,6.12448454944659,0.0112487531900201,"ONECUT1",9.27287675152533e-10
"WDR72","OK",0.00422429372505429,2.63359629640187,0.0045465735089843,"WDR72",0.00677822541200366
"RSL24D1","OK",0,142.753667688043,0.274531526764256,"RSL24D1",0
"RAB27A","OK",0,90.3383567855446,0.173547673933428,"RAB27A",0
"PIGBOS1","OK",1.08423634255426e-23,9.96501218691626,0.0191106213945491,"PIGBOS1",2.7252952982073e-23
